PCPT,MAX_T,MIN_T,AVG_T,SMOKE,PM10,AQI,SO2,O3,City,DATE,AQI_BUCKET,,
0.01,62,51,56.5,0,24.2,19,1,57,Davis Island,2/9/2016,GOOD,,
0.4,82,76,79,0,9.3,19,1,66,Davis Island,8/7/2016,GOOD,,
0.01,92,76,84,1,19,19,0,49,Davis Island,8/12/2016,GOOD,,
,91,78,84.5,1,8.8,19,1,45,Davis Island,8/14/2016,GOOD,,
0,91,79,85,0,22.3,19,5,42,Davis Island,9/18/2016,GOOD,,
0,79,56,67.5,0,15.4,19,2,46,Davis Island,12/16/2016,GOOD,,
0,80,55,67.5,0,11.2,19,2,36,Davis Island,2/6/2017,GOOD,,
0.1,93,76,84.5,0,21.8,19,1,47,Davis Island,7/12/2017,GOOD,,
0,83,66,74.5,0,17.5,19,,65,Davis Island,12/5/2017,GOOD,,
0.18,83,68,75.5,0,28.9,19,,39,Davis Island,4/7/2018,GOOD,,
0.67,90,75,82.5,0,18.5,19,,40,Davis Island,5/24/2018,GOOD,,
0.08,88,76,82,0,19.4,19,,49,Davis Island,5/31/2018,GOOD,,
0,90,80,85,1,17.2,19,,42,Davis Island,6/20/2018,GOOD,,
0,91,77,84,0,26.2,19,,29,Davis Island,6/26/2018,GOOD,,
0.07,91,79,85,1,14.6,19,,34,Davis Island,7/14/2018,GOOD,,
0.25,93,78,85.5,0,27.3,19,,33,Davis Island,9/2/2018,GOOD,,
0,92,74,83,0,24.7,19,,48,Davis Island,10/6/2018,GOOD,,
0,81,59,70,0,21.6,19,,49,Davis Island,4/22/2019,GOOD,,
0.54,94,78,86,0,31.1,19,,39,Davis Island,6/5/2019,GOOD,,
0.42,91,77,84,0,25.2,19,,47,Davis Island,6/6/2019,GOOD,,
0.17,89,77,83,0,33.2,19,,35,Davis Island,6/11/2019,GOOD,,
0.44,87,72,79.5,0,24.1,19,,52,Davis Island,6/16/2019,GOOD,,
0.19,96,79,87.5,0,8.1,19,,42,Davis Island,8/25/2019,GOOD,,
2.2,84,73,78.5,0,15.9,19,,47,Davis Island,10/19/2019,GOOD,,
0.24,86,74,80,0,17.4,19,,36,Davis Island,10/21/2019,GOOD,,
0,84,64,74,0,14.5,19,,22,Davis Island,12/11/2019,GOOD,,
0,78,53,65.5,0,19.1,19,,69,Davis Island,12/15/2019,GOOD,,
0,81,63,72,0,23.9,19,,44,Davis Island,12/25/2019,GOOD,,
,74,64,69,0,23,19,,24,Davis Island,1/19/2020,GOOD,,
0.84,83,74,78.5,1,25.6,19,,31,Davis Island,6/4/2020,GOOD,,
,92,81,86.5,0,31.2,19,,50,Davis Island,7/4/2020,GOOD,,
0.64,94,74,84,1,29.1,19,,44,Davis Island,7/15/2020,GOOD,,
0.06,90,77,83.5,0,24.4,19,,23,Davis Island,7/22/2020,GOOD,,
0,95,77,86,0,31.8,19,,40,Davis Island,8/10/2020,GOOD,,
0.16,91,79,85,0,15.4,19,,32,Davis Island,8/16/2020,GOOD,,
0.28,93,79,86,1,20.4,19,,47,Davis Island,8/24/2020,GOOD,,
0,93,81,87,0,19.5,19,,45,Davis Island,8/27/2020,GOOD,,
0,92,81,86.5,0,18.3,19,,43,Davis Island,8/28/2020,GOOD,,
0.53,91,77,84,1,25.8,19,,22,Davis Island,9/10/2020,GOOD,,
0,93,78,85.5,0,14.4,19,,60,Davis Island,10/9/2020,GOOD,,
0,81,67,74,0,15.9,19,,34,Davis Island,2/12/2021,GOOD,,
0.12,82,70,76,0,36.7,19,,46,Davis Island,2/15/2021,GOOD,,
0,84,70,77,0,20.6,19,,29,Davis Island,2/28/2021,GOOD,,
,90,78,84,0,,19,,28,Davis Island,5/30/2021,GOOD,,
0.13,89,77,83,1,,19,,46,Davis Island,6/4/2021,GOOD,,
0.05,94,78,86,1,,19,,49,Davis Island,6/7/2021,GOOD,,
1.42,90,73,81.5,1,,19,,,Davis Island,6/24/2021,GOOD,,
